Hmel200001o	254	370
Hmel200001o	806	985
Hmel200001o	1113	1306
Hmel200001o	1917	1976
Hmel200001o	2744	2878
Hmel200001o	3827	3952
Hmel200001o	4900	5108
Hmel200001o	5709	6042
Hmel200002o	4162	4524
Hmel200003o	642	871
Hmel200003o	3263	3386
Hmel200004o	1	58
Hmel200004o	1708	1818
Hmel200004o	2919	3063
Hmel200004o	3349	3440
Hmel200004o	3811	3964
Hmel200004o	4330	4525
Hmel200004o	4803	4895
Hmel200004o	5422	5550
Hmel200004o	6560	6757
Hmel200004o	11453	11637
Hmel200004o	12320	12686
Hmel200005o	1	196
Hmel200005o	1458	1641
Hmel200005o	2308	2379
Hmel200005o	2480	2563
Hmel200005o	5094	5186
Hmel200005o	5789	5983
Hmel200005o	6458	6667
Hmel200005o	9873	10410
Hmel200005o	11428	11648
Hmel200006o	104	243
Hmel200006o	452	1130
Hmel200006o	1540	1641
Hmel200006o	1762	1887
Hmel200006o	2343	2542
Hmel200007o	13985	14123
Hmel200007o	14592	14598
Hmel200007o	15157	15445
Hmel200007o	24868	25011
Hmel200007o	25761	25943
Hmel200009o	2157	2166
Hmel200009o	3810	3849
Hmel200009o	9504	9553
Hmel200009o	20217	20331
Hmel200009o	20217	20331
Hmel200009o	21197	21324
Hmel200009o	21197	21324
Hmel200009o	22457	22587
Hmel200009o	22457	22587
Hmel200009o	22664	22834
Hmel200009o	22664	22834
Hmel200009o	23338	23417
Hmel200009o	23338	23417
Hmel200009o	23739	23847
Hmel200009o	23739	23847
Hmel200009o	24961	25121
Hmel200009o	24961	25121
Hmel200009o	25221	25321
Hmel200009o	25221	25321
Hmel200009o	26046	26174
Hmel200009o	26046	26174
Hmel200009o	26477	26663
Hmel200009o	26477	26663
Hmel200009o	27405	27502
Hmel200009o	27405	27502
Hmel200009o	28138	28273
Hmel200009o	28138	28273
Hmel200009o	28682	28822
Hmel200009o	28682	28822
Hmel200009o	29116	29217
Hmel200009o	29116	29217
Hmel200010o	1188	1315
Hmel200010o	1549	1712
Hmel200010o	1799	1908
Hmel200010o	2117	2221
Hmel200010o	2596	2723
Hmel200010o	7006	7204
Hmel200010o	7333	7460
Hmel200011o	9490	9771
Hmel200011o	17674	17955
Hmel200012o	361	729
Hmel200012o	796	3649
Hmel200012o	3721	5585
Hmel200012o	6518	6535
Hmel200012o	6942	7220
Hmel200012o	8092	9320
Hmel200012o	9542	9878
Hmel200012o	11660	12526
Hmel200012o	12856	13311
Hmel200012o	14209	17299
Hmel200012o	17406	17629
Hmel200014o	550	664
Hmel200014o	1177	1420
Hmel200014o	2009	2085
Hmel200014o	4682	4750
Hmel200014o	4838	5062
Hmel200014o	8498	8623
Hmel200014o	9352	9420
Hmel200014o	9352	9420
Hmel200014o	9508	9688
Hmel200014o	9508	9688
Hmel200014o	10408	10507
Hmel200014o	10408	10511
Hmel200014o	10957	11161
Hmel200014o	13221	13289
Hmel200014o	13377	13557
Hmel200014o	14275	14374
Hmel200014o	14824	15028
Hmel200015o	2189	2405
Hmel200015o	2996	3056
Hmel200015o	4729	4880
Hmel200015o	5174	5270
Hmel200015o	5697	5817
Hmel200015o	6099	6315
Hmel200015o	6529	6589
Hmel200015o	9348	9499
Hmel200015o	9912	10070
Hmel200015o	10436	10566
Hmel200015o	11004	11220
Hmel200015o	11736	11796
